Path;Total;R1;R2;Comments;R3;;Legenda:
;;;;;;;Total = RIGHE TOTALI
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\AmazingShop\ratings.html;429;346;6;83;19,35%;;R1= N. DI RIGHE CON LEN <=4
;;;;;;;R2= N. DI RIGHE LEN==4 CON ALMENO 1 S.W.
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\Asheleywilliams\ratings.html;485;410;19;75;15,46%;;Comment= N. RIGHE PROBABILI COMMENTI
;;;;;;;R3= % DELLE RIGHE CON LEN 4 CON ALMENO 1 S.W.
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\carlosjuan\ratings.html;130;105;0;25;19,23%;;SU TUTTE LE RIGHE CON LEN<=4
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\CheebaChews\ratings.html;290;251;5;39;13,45%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\darkkings\ratings.html;425;354;7;71;16,71%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\dreamboss\ratings.html;404;316;2;88;21,78%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\DREAmMarkeTvendorTEAM\ratings.html;535;382;4;153;28,60%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\easyways\ratings.html;493;396;1;97;19,68%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\expressshop\ratings.html;427;332;0;95;22,25%;;
;;;;;;;
E:\ANITA-Dumps-Uncompressed\Sample 1\agartha_2020-03-31_18-36-01\agarthafw2cock27.onion\vendor\HarryBrainman\ratings.html;165;132;0;33;20,00%;;
;;;;;;;
